State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Abbr,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,Population_Size_Standard_Error,Population_Density_Standard_Error,Poverty_Standard_Error,Age_19_Under_Standard_Error,Age_19_64_Standard_Error,Age_65_84_Standard_Error,Age_85_and_Over_Standard_Error,White_Standard_Error,Black_Standard_Error,Native_American_Standard_Error,Asian_Standard_Error,Hispanic_Standard_Error,CKD,CKD_Standard_Error,CKD2,CKD2_Standard_Error,Smoker,Smoker_Standard_Error,Smoker2,Smoker2_Standard_Error,Obesity,Obesity_Standard_Error,Obesity2,Obesity2_Standard_Error,Hypertension,Hypertension_Standard_Error,Hypertension2,Hypertension2_Standard_Error,CHD,CHD_Standard_Error,CHD2,CHD2_Standard_Error,Stroke,Stroke_Standard_Error,Stroke2,Stroke2_Standard_Error,Diabetes,Diabetes_Standard_Error,Diabetes2,Diabetes2_Standard_Error,Avg_Drug_Deaths,LBW,VLBW,Premature,Under_18,Over_40,Unmarried,Late_Care,Brst_Cancer,Col_Cancer,Lung_Cancer,Suicide,Total_Deaths,LBW_Standard_Error,VLBW_Standard_Error,Premature_Standard_Error,Under_18_Standard_Error,Over_40_Standard_Error,Unmarried_Standard_Error,Late_Care_Standard_Error,Brst_Cancer_Standard_Error,Col_Cancer_Standard_Error,Lung_Cancer_Standard_Error,Suicide_Standard_Error,Total_Deaths_Standard_Error,FluB_Rpt,HepA_Rpt,HepB_Rpt,Meas_Rpt,Pert_Rpt,CRS_Rpt,Syphilis_Rpt,FluB_Rpt_Standard_Error,HepA_Rpt_Standard_Error,HepB_Rpt_Standard_Error,Meas_Rpt_Standard_Error,Pert_Rpt_Standard_Error,CRS_Rpt_Standard_Error,Syphilis_Rpt_Standard_Error,No_Exercise,No_Exercise_Standard_Error
0,1,1,Autauga,AL,48612,82,0.10400000000000001,0.26899999999999996,0.623,0.098,0.009000000000000001,0.807,0.17300000000000001,0.005,0.006,0.017,15753.90625,32.8125,0.00703125,0.025,0.02734375,0.01953125,0.00078125,0.0,0.13203125,0.003125,0.003125,0.00017,0.000146,2e-05,0.000146,2.4e-05,0.217,0.027999999999999997,0.24600000000000002,0.032,0.297,0.032,0.282,0.034,0.26,0.039,0.31,0.039,0.002251,7.7e-05,0.00224,7.7e-05,0.000435,4e-05,0.00044899999999999996,3.5e-05,0.1,0.018000000000000002,0.13,0.021,9.05e-05,0.081,0.016,0.14300000000000002,0.051,0.013999999999999999,0.28,0.129,0.000341,0.00015900000000000002,0.0006529999999999999,0.00016600000000000002,0.03840615485888258,0.005102040816326529,0.0020408163265306103,0.0066326530612244895,0.0040816326530612205,0.0020408163265306103,0.008163265306122458,0.00612244897959184,5.05102040816327e-05,2.7040816326530602e-05,5.867346938775509e-05,2.5e-05,0.0582994312953193,0.0,1e-05,2e-05,0.0,3e-05,0.0,8e-05,0.0541618550719706,0.0509664177543651,0.0475901148729883,0.0157950019522416,0.0180337936347567,0.0873637926016978,0.0199543494452253,0.278,0.0362244897959184
1,1,3,Baldwin,AL,162586,102,0.102,0.235,0.603,0.145,0.018000000000000002,0.884,0.099,0.005,0.004,0.023,34524.21875,49.21875,0.00390625,0.0171875,0.0390625,0.02109375,-0.0007812499999999991,0.03828125,0.06953125,0.003125,0.0,0.00023,0.00014800000000000002,1.1000000000000001e-05,0.00014800000000000002,1.3000000000000001e-05,0.20600000000000002,0.017,0.22699999999999998,0.02,0.244,0.017,0.248,0.019,0.35,0.026000000000000002,0.3,0.023,0.002467,4.2999999999999995e-05,0.002486,4.4000000000000006e-05,0.0005510000000000001,2.4e-05,0.000593,2.2000000000000003e-05,0.09,0.008,0.09,0.009000000000000001,0.0001805,0.086,0.019,0.153,0.043,0.019,0.254,0.153,0.000225,0.000153,0.000621,0.000143,0.026988793623067178,0.003571428571428571,0.00153061224489796,0.005102040816326529,0.00255102040816327,0.00153061224489796,0.00612244897959183,0.005102040816326529,2.6530612244897997e-05,1.5816326530612298e-05,3.36734693877551e-05,1.68367346938776e-05,0.0712759642677424,0.0,2e-05,0.00017,0.0,0.0,0.0,0.0,0.0360041205112624,0.0248174241022985,0.0971604526175907,0.0528759098845485,0.09721542728005901,0.0573682436170349,0.0976981438188067,0.272,0.0204081632653061
2,1,5,Barbour,AL,28414,32,0.221,0.243,0.625,0.11599999999999999,0.016,0.522,0.46799999999999997,0.004,0.003,0.031,894.53125,14.0625,0.03203125,0.00625000000000001,0.059375,0.015625,0.003125,0.028125,0.36015625,0.0015625,0.00078125,0.00031,0.000243,3.5e-05,0.000244,4.2000000000000004e-05,0.251,0.039,0.23399999999999999,0.039,0.446,0.04,0.41,0.044000000000000004,0.48,0.05,0.42,0.049,0.003264,0.00013099999999999999,0.00315,0.000128,0.000589,6.599999999999999e-05,0.000576,5.5e-05,0.12,0.019,0.1,0.018000000000000002,5.05e-05,0.11,0.019,0.16699999999999998,0.077,0.011000000000000001,0.502,0.26,0.000305,0.000234,0.0007059999999999999,0.00010300000000000001,0.05412824663898078,0.007653061224489799,0.003571428571428571,0.0086734693877551,0.00612244897959184,0.00255102040816327,0.011734693877551002,0.010204081632653102,5.66326530612245e-05,3.62244897959184e-05,6.887755102040809e-05,2.3469387755102002e-05,0.0555532601892807,0.0,2e-05,0.0,0.0,0.0,0.0,6e-05,0.0403196130619202,0.0835768132311346,0.00887118037449274,0.0614830505552989,0.0565676552150517,0.0627262342641954,0.0235837020272263,0.341,0.0290816326530612
3,1,7,Bibb,AL,21516,35,0.168,0.24600000000000002,0.633,0.109,0.012,0.768,0.225,0.003,0.001,0.013999999999999999,10454.6875,20.3125,0.03359375,0.0015625000000000196,0.05859375,0.01328125,0.0015625,0.10078125,0.1734375,0.0015625,0.0,0.00014,0.000253,4e-05,0.000214,4.4000000000000006e-05,0.259,0.039,0.35100000000000003,0.048,0.312,0.035,0.327,0.044000000000000004,0.37,0.045,0.29,0.043,0.002787,0.00013199999999999998,0.0027,0.00013,0.0006270000000000001,7.400000000000001e-05,0.0007570000000000001,6.900000000000001e-05,0.09,0.019,0.11,0.027999999999999997,0.0001205,0.087,0.017,0.13699999999999998,0.065,0.009000000000000001,0.302,0.163,0.000301,0.00017399999999999997,0.000646,0.00014800000000000002,0.09351180516824689,0.005102040816326529,0.00255102040816327,0.00612244897959183,0.00459183673469388,0.0020408163265306103,0.0086734693877551,0.00714285714285715,4.94897959183674e-05,2.7551020408163303e-05,5.7653061224489805e-05,2.5e-05,0.0209351680202182,0.0,2e-05,4e-05,0.0,3e-05,0.0,2e-05,0.00525988462583499,0.037784592962141,0.0787539733498037,0.0575861729824193,0.0238558291124504,0.0568164163222693,0.0715984792447351,0.289,0.0454081632653061
4,1,9,Blount,AL,55725,86,0.11900000000000001,0.245,0.621,0.121,0.013000000000000001,0.971,0.015,0.005,0.002,0.063,20871.875,43.75,0.01953125,0.02109375,0.00859375000000001,0.02578125,0.000781250000000001,0.1484375,0.00703125,0.003125,-0.00078125,0.00063,0.000212,2.2999999999999997e-05,0.000214,2.8e-05,0.213,0.028999999999999998,0.22699999999999998,0.031,0.341,0.035,0.33,0.035,0.4,0.049,0.4,0.042,0.002435,7.8e-05,0.002477,7.900000000000001e-05,0.000513,4.2000000000000004e-05,0.000554,3.7000000000000005e-05,0.1,0.016,0.1,0.017,0.0001405,0.076,0.015,0.128,0.05,0.013000000000000001,0.193,0.16699999999999998,0.00030199999999999997,0.00016800000000000002,0.0007170000000000001,0.000144,0.04401973979362943,0.00459183673469387,0.0020408163265306103,0.00612244897959184,0.003571428571428571,0.0020408163265306103,0.00714285714285715,0.006632653061224481,4.234693877551019e-05,2.3469387755102002e-05,5.153061224489799e-05,2.19387755102041e-05,0.0928357669586543,2e-05,3e-05,3e-05,0.0,3e-05,0.0,0.0,0.0916944035040023,0.00233529775672885,0.0951088504020194,0.0852626414168723,0.0518426113505434,0.0136467870076308,0.0920250695360961,0.335,0.036734693877551
5,1,11,Bullock,AL,11055,18,0.262,0.247,0.632,0.1,0.022000000000000002,0.278,0.7140000000000001,0.004,0.002,0.059000000000000004,3771.09375,2.34375,0.071875,0.01875,0.0625,-0.0078125,0.003125,-0.0171875,0.54921875,0.00234375,0.00078125,0.00059,0.00026199999999999997,5.9000000000000004e-05,0.000506,6.8e-05,0.37799999999999995,0.09699999999999999,0.21600000000000003,0.019,0.41600000000000004,0.094,0.301,0.036000000000000004,0.33,0.098,0.4,0.039,0.00287,0.000195,0.0031780000000000003,0.000205,0.000506,9.7e-05,0.000674,9.400000000000001e-05,0.19,0.052000000000000005,0.15,0.025,7.049999999999999e-05,0.13699999999999998,0.027999999999999997,0.226,0.10800000000000001,0.012,0.6659999999999999,0.344,0.00030399999999999996,0.00023,0.000499,9.400000000000001e-05,0.12492085029398463,0.0086734693877551,0.0040816326530612205,0.0107142857142857,0.007653061224489799,0.00255102040816327,0.011734693877551002,0.011734693877551002,6.122448979591839e-05,4.03061224489796e-05,6.1734693877551e-05,1.83673469387755e-05,0.0370916833365921,0.0,1e-05,1e-05,0.0,0.0,0.0,4e-05,0.0008531068649254349,0.0367345633022707,0.0862864542790471,0.0754011687518414,0.0536847919313424,0.0665891962997539,0.0787484744819938,0.31,0.0469387755102041
6,1,13,Butler,AL,20766,27,0.2,0.256,0.585,0.136,0.024,0.575,0.419,0.002,0.003,0.009000000000000001,9015.625,2.34375,0.02578125,0.00625000000000001,0.01875,0.01953125,0.00625,0.071875,0.29296875,0.00078125,0.00078125,9e-05,0.000315,4.599999999999999e-05,0.000326,5.6e-05,0.305,0.043,0.287,0.045,0.355,0.038,0.31,0.039,0.38,0.048,0.34,0.051,0.003625,0.00015900000000000002,0.003493,0.000155,0.0006640000000000001,8e-05,0.0006529999999999999,6.7e-05,0.12,0.018000000000000002,0.11,0.021,8.05e-05,0.098,0.018000000000000002,0.157,0.09,0.012,0.502,0.203,0.000205,0.00017800000000000002,0.000525,0.000119,0.13758066069536742,0.005102040816326529,0.00255102040816327,0.006632653061224481,0.005102040816326529,0.0020408163265306103,0.00918367346938778,0.007653061224489799,3.52040816326531e-05,2.3979591836734702e-05,4.59183673469388e-05,2.14285714285714e-05,0.0536016874571547,0.0,0.0,5e-05,0.0,0.0,0.0,7e-05,0.0150104523016718,0.060930743789471,0.0243233289760873,0.0781054960160158,0.0274713190798691,0.0362521361002935,0.0402543612665655,0.245,0.0459183673469388
7,1,15,Calhoun,AL,112141,184,0.16399999999999998,0.24100000000000002,0.616,0.127,0.015,0.7829999999999999,0.19699999999999998,0.004,0.008,0.02,594.53125,110.15625,0.03125,0.01328125,0.0296875,0.0328125,0.003125,0.09765625,0.14609375,0.00078125,0.000781250000000001,0.0002,0.000248,1.7e-05,0.000254,2.1000000000000002e-05,0.244,0.017,0.268,0.018000000000000002,0.32899999999999996,0.018000000000000002,0.32,0.019,0.38,0.026000000000000002,0.38,0.025,0.003256,6.3e-05,0.003225,6.3e-05,0.000486,2.9e-05,0.000487,2.4e-05,0.15,0.012,0.12,0.011000000000000001,0.0001105,0.09,0.019,0.141,0.048,0.008,0.263,0.121,0.00026399999999999997,0.00018399999999999997,0.000735,0.000136,0.03491140617615324,0.004081632653061229,0.0020408163265306103,0.00561224489795918,0.003571428571428571,0.00153061224489796,0.0066326530612244895,0.005102040816326529,3.31632653061224e-05,2.14285714285714e-05,4.38775510204081e-05,1.83673469387755e-05,0.0701311340332137,1e-05,2e-05,7e-05,0.0,0.0,0.0,7e-05,0.0204521655638214,0.0997108935364941,0.049899487238393,0.0680510106987163,0.0587406114315486,0.027808044845531,0.0962656426865558,0.292,0.020918367346938797
8,1,17,Chambers,AL,35460,59,0.162,0.248,0.595,0.135,0.022000000000000002,0.608,0.386,0.001,0.002,0.012,6587.5,2.34375,0.01953125,0.03125,0.02109375,0.01484375,0.00390625,-0.07265625,0.29921875,0.0,0.0,0.00012,0.00020600000000000002,2.9e-05,0.000241,3.7000000000000005e-05,0.24100000000000002,0.034,0.214,0.034,0.40700000000000003,0.042,0.369,0.046,0.49,0.052000000000000005,0.44,0.051,0.0032210000000000003,0.000116,0.003289,0.000117,0.000839,7e-05,0.001137,6.900000000000001e-05,0.19,0.028999999999999998,0.2,0.032,0.0001105,0.09300000000000001,0.02,0.152,0.073,0.009000000000000001,0.494,0.17600000000000002,0.000253,0.00013800000000000002,0.000631,0.000128,0.06835871404399323,0.00612244897959184,0.00306122448979592,0.007653061224489799,0.00561224489795918,0.0020408163265306103,0.0107142857142857,0.008163265306122458,4.28571428571429e-05,2.29591836734694e-05,5.35714285714286e-05,2.3979591836734702e-05,0.0750699128458646,0.0,2e-05,0.0,1e-05,0.0,0.0,1e-05,0.0971685842518694,0.0857177048103495,0.0640275436204197,0.0476162488062594,0.00918482048856715,0.0629335968483808,0.0705074949640436,0.34700000000000003,0.04795918367346941
9,1,19,Cherokee,AL,24522,44,0.152,0.21899999999999997,0.614,0.152,0.013999999999999999,0.9329999999999999,0.055,0.003,0.003,0.011000000000000001,11860.9375,7.03125,0.025,0.01796875,0.021875,0.01796875,-0.0015625,0.04296875,0.03984375,0.0015625,0.0015625,0.00011000000000000002,0.000256,3.7999999999999995e-05,0.000204,4e-05,0.244,0.040999999999999995,0.252,0.042,0.35200000000000004,0.048,0.34600000000000003,0.049,0.46,0.067,0.43,0.05,0.002904,0.000126,0.0027739999999999996,0.000124,0.000637,7e-05,0.000737,6.4e-05,0.16,0.031,0.17,0.033,0.0001405,0.084,0.012,0.122,0.076,0.009000000000000001,0.261,0.141,0.00011,0.000153,0.000541,0.000177,0.10639425821711117,0.005102040816326529,0.0020408163265306103,0.00612244897959183,0.005102040816326529,0.0020408163265306103,0.008673469387755121,0.006632653061224481,2.3979591836734702e-05,2.19387755102041e-05,4.33673469387755e-05,2.55102040816327e-05,0.0400378213391364,1e-05,0.0,2e-05,0.0,0.0,0.0,1e-05,0.0735410197842898,0.0226318766917241,0.04216036900273,0.000280243202552088,0.0111909406111578,0.0506278131876302,0.0450966662367206,0.303,0.048469387755102004
